,Bearing Status (F849D807-A0EB-482D-914C-5D18005814EB)
2004-02-12 11:32:39-05:00,1
2004-02-12 11:42:39-05:00,1
2004-02-12 11:52:39-05:00,1
2004-02-12 12:02:39-05:00,1
2004-02-12 12:12:39-05:00,0
2004-02-12 12:22:39-05:00,1
2004-02-12 12:32:39-05:00,0
2004-02-12 12:42:39-05:00,0
2004-02-12 12:52:39-05:00,0
2004-02-12 13:02:39-05:00,0
2004-02-12 13:12:39-05:00,0
2004-02-12 13:22:39-05:00,0
2004-02-12 13:32:39-05:00,0
2004-02-12 13:42:39-05:00,0
2004-02-12 13:52:39-05:00,0
2004-02-12 14:02:39-05:00,0
2004-02-12 14:12:39-05:00,0
2004-02-12 14:22:39-05:00,0
2004-02-12 14:32:39-05:00,0
2004-02-12 14:42:39-05:00,0
2004-02-12 14:52:39-05:00,0
2004-02-12 15:02:39-05:00,0
2004-02-12 15:12:39-05:00,0
2004-02-12 15:22:39-05:00,0
2004-02-12 15:32:39-05:00,0
2004-02-12 15:42:39-05:00,0
2004-02-12 15:52:39-05:00,0
2004-02-12 16:02:39-05:00,0
2004-02-12 16:12:39-05:00,0
2004-02-12 16:22:39-05:00,0
2004-02-12 16:32:39-05:00,0
2004-02-12 16:42:39-05:00,0
2004-02-12 16:52:39-05:00,0
2004-02-12 17:02:39-05:00,0
2004-02-12 17:12:39-05:00,0
2004-02-12 17:22:39-05:00,0
2004-02-12 17:32:39-05:00,0
2004-02-12 17:42:39-05:00,0
2004-02-12 17:52:39-05:00,0
2004-02-12 18:02:39-05:00,0
2004-02-12 18:12:39-05:00,0
2004-02-12 18:22:39-05:00,0
2004-02-12 18:32:39-05:00,0
2004-02-12 18:42:39-05:00,0
2004-02-12 18:52:39-05:00,0
2004-02-12 19:02:39-05:00,0
2004-02-12 19:12:39-05:00,0
2004-02-12 19:22:39-05:00,0
2004-02-12 19:32:39-05:00,0
2004-02-12 19:42:39-05:00,0
2004-02-12 19:52:39-05:00,0
2004-02-12 20:02:39-05:00,0
2004-02-12 20:12:39-05:00,0
2004-02-12 20:22:39-05:00,0
2004-02-12 20:32:39-05:00,0
2004-02-12 20:42:39-05:00,0
2004-02-12 20:52:39-05:00,0
2004-02-12 21:02:39-05:00,0
2004-02-12 21:12:39-05:00,0
2004-02-12 21:22:39-05:00,0
2004-02-12 21:32:39-05:00,0
2004-02-12 21:42:39-05:00,0
2004-02-12 21:52:39-05:00,0
2004-02-12 22:02:39-05:00,0
2004-02-12 22:12:39-05:00,0
2004-02-12 22:22:39-05:00,0
2004-02-12 22:32:39-05:00,0
2004-02-12 22:42:39-05:00,0
2004-02-12 22:52:39-05:00,0
2004-02-12 23:02:39-05:00,0
2004-02-12 23:12:39-05:00,0
2004-02-12 23:22:39-05:00,0
2004-02-12 23:32:39-05:00,0
2004-02-12 23:42:39-05:00,0
2004-02-12 23:52:39-05:00,0
2004-02-13 00:02:39-05:00,0
2004-02-13 00:12:39-05:00,0
2004-02-13 00:22:39-05:00,0
2004-02-13 00:32:39-05:00,0
2004-02-13 00:42:39-05:00,0
2004-02-13 00:52:39-05:00,0
2004-02-13 01:02:39-05:00,0
2004-02-13 01:12:39-05:00,0
2004-02-13 01:22:39-05:00,0
2004-02-13 01:32:39-05:00,0
2004-02-13 01:42:39-05:00,0
2004-02-13 01:52:39-05:00,0
2004-02-13 02:02:39-05:00,0
2004-02-13 02:12:39-05:00,0
2004-02-13 02:22:39-05:00,0
2004-02-13 02:32:39-05:00,0
2004-02-13 02:42:39-05:00,0
2004-02-13 02:52:39-05:00,0
2004-02-13 03:02:39-05:00,0
2004-02-13 03:12:39-05:00,0
2004-02-13 03:22:39-05:00,0
2004-02-13 03:32:39-05:00,0
2004-02-13 03:42:39-05:00,0
2004-02-13 03:52:39-05:00,0
2004-02-13 04:02:39-05:00,0
2004-02-13 04:12:39-05:00,0
2004-02-13 04:22:39-05:00,0
2004-02-13 04:32:39-05:00,0
2004-02-13 04:42:39-05:00,0
2004-02-13 04:52:39-05:00,0
2004-02-13 05:02:39-05:00,0
2004-02-13 05:12:39-05:00,0
2004-02-13 05:22:39-05:00,0
2004-02-13 05:32:39-05:00,0
2004-02-13 05:42:39-05:00,0
2004-02-13 05:52:39-05:00,0
