,C45_Discharge_Pressure (0824108E-525C-4B22-8430-EB4EBB0A2B9E),C45_Discharge_Temperature (80147415-93F2-4D29-B642-A653D8F5EBD1),C23_Speed (CB8678CF-EDA9-4505-830C-D2D32FF28790),C45_Flow (AD38C3BD-3D0D-408F-B73A-5A83C6588EF8),C23_Suction_pressure (EC304387-9C4D-4B73-8AED-1D2E5EB69415),C23_Suction_temperature (2D84AD0C-0CAF-4B07-894F-A54BB4125745),C23_Flow (100DD46E-316B-4BF1-A635-94465A887778),C23_Discharge_Pressure (AA3200B9-D90E-4D67-98F5-2A0762EAC0BE),C45_Suction_pressure (3070B765-83D3-48A1-ACDE-8DC7B3A21874),C45_Speed (265C6391-4097-4FBF-9C99-363308FD433E),C45_Suction_temperature (8977F5CF-E090-4BF6-A997-FD2164B6FCE6),C23_Discharge_Temperature (5BABADFD-318C-426C-B495-254EE3FC1958)
2018-06-01 00:00:00-04:00,12.31241764,125.373718,10000.63699,209.2611844,2.854033357,34.18251897,206.731293,11.42321036,2.798334691,10007.15061,34.19249766,125.7067245
2018-06-01 01:00:00-04:00,12.35938295,125.3237511,10004.01698,209.5702062,2.849774608,34.15935966,205.7808248,11.4236554,2.773541186,10000.13386,34.18281633,125.6247477
2018-06-01 02:00:00-04:00,12.44892474,125.2866341,10008.02376,209.8792279,2.845515857,34.13620035,204.8303566,11.42721557,2.748747681,10008.71875,34.17313501,125.5427709
2018-06-01 03:00:00-04:00,12.53846653,125.249517,10005.87739,209.8873092,2.841257108,34.11304104,203.8798884,11.43077575,2.723954177,10002.85393,34.16345368,125.4607941
2018-06-01 04:00:00-04:00,12.62800832,125.2124,10008.61245,209.8953905,2.836998358,34.08988173,202.9294202,11.43433594,2.699160672,10002.31627,34.15377235,125.3788173
2018-06-01 05:00:00-04:00,12.7175501,125.1752829,10000.79728,209.9034718,2.817369372,34.19548917,201.9789521,11.38653699,2.674367167,10003.0084,34.14409103,125.460883
2018-06-01 06:00:00-04:00,12.80709189,125.1381659,10009.01464,209.9115531,2.797740384,34.30109661,201.0284839,11.33873806,2.682652314,10005.76839,34.1344097,125.5429487
2018-06-01 07:00:00-04:00,12.89663369,125.1010488,10003.50682,209.9196344,2.778111397,34.40670406,200.2834425,11.29093912,2.69093746,10000.75789,34.25590128,125.6250144
2018-06-01 08:00:00-04:00,12.74652148,125.1070299,10008.59077,209.9277157,2.758482411,34.5123115,199.5384011,11.24314018,2.699222608,10001.17488,34.37739286,125.7070801
2018-06-01 09:00:00-04:00,12.59640928,125.1130109,10009.5671,209.7059925,2.738853423,34.61791894,198.7933597,11.19534124,2.707507754,10003.79883,34.49888443,125.7891458
2018-06-01 10:00:00-04:00,12.44629708,125.1189919,10003.68758,209.4842692,2.719224436,34.72352638,198.0483183,11.1475423,2.715792901,10001.00644,34.62037601,125.8712115
2018-06-01 11:00:00-04:00,12.29618488,125.124973,10004.2948,209.2625459,2.732860123,34.61840496,197.3032768,11.19981301,2.724078048,10000.78789,34.74186759,125.8689229
2018-06-01 12:00:00-04:00,12.14607267,125.130954,10000.74439,209.0408227,2.746495811,34.51328354,196.5582354,11.25208371,2.721856944,10004.32099,34.86335917,125.8666342
2018-06-01 13:00:00-04:00,11.99596048,125.136935,10004.11141,208.8190994,2.760131497,34.40816212,196.1055806,11.30435442,2.719635841,10001.92014,34.80935453,125.8643456
2018-06-01 14:00:00-04:00,12.07082967,125.2976532,10004.85081,208.5973762,2.773767185,34.3030407,195.6529257,11.35662514,2.717414737,10001.79773,34.75534989,125.862057
2018-06-01 15:00:00-04:00,12.14569885,125.4583715,10006.80086,207.6523848,2.787402873,34.19791927,195.2002709,11.40889585,2.715193634,10000.07259,34.70134525,125.8597683
