,ID,Path,Asset,Name,Description,Type,Value Unit Of Measure,Datasource Name,Archived,Source Value Unit Of Measure,Datasource ID,Template,Maximum Interpolation,Sync Token,Enabled,Key Unit Of Measure,Cache ID,Datasource Class,Cache Enabled,Data ID,Interpolation Method,Formula,Unsearchable,Formula Parameters
0,01B9AB24-2D68-4E20-A6F2-3D5D5C6D96EB,Sample Assets >> Compressors,C23,Suction Pressure,,CalculatedSignal,bar,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,7200.0,2023-05-10T21:53:03.269723,True,ns,C3A3A30F-F982-488E-A8F4-9B98E4AAE2A7,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Compressors >> C23 >> Suction Pressure,Linear,$signal,False,['signal=EC304387-9C4D-4B73-8AED-1D2E5EB69415']
1,074DE9D1-2DB6-4ABC-8805-9280EA947393,Sample Assets >> Compressors,C23,Speed,,CalculatedSignal,rpm,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,7200.0,2023-05-10T21:53:03.269723,True,ns,E0E91F00-E5B9-4452-B24E-FC9F8843E250,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Compressors >> C23 >> Speed,Linear,$signal,False,['signal=CB8678CF-EDA9-4505-830C-D2D32FF28790']
2,2114E159-6292-434E-B748-96749350EFA4,Sample Assets >> Compressors,C45,C45,,Asset,,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,,2023-05-10T21:53:03.269723,True,,,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Asset} Sample Assets >> Compressors >> C45,,,False,
3,397BEDEC-0901-4546-8BED-F1978D710CA0,Sample Assets >> Compressors,C23,C23,,Asset,,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,,2023-05-10T21:53:03.269723,True,,,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Asset} Sample Assets >> Compressors >> C23,,,False,
4,456EF5EA-3B32-4C6D-A7BA-1FF79D728B0F,Sample Assets >> Compressors,C45,Discharge Pressure,,CalculatedSignal,bar,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,7200.0,2023-05-10T21:53:03.269723,True,ns,EEB8167C-C331-4695-9BDE-CEDCEFC2BB19,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Compressors >> C45 >> Discharge Pressure,Linear,$signal,False,['signal=0824108E-525C-4B22-8430-EB4EBB0A2B9E']
5,583049DB-AB3E-4676-AB48-CF04347E94DB,Sample Assets >> Compressors,C23,Discharge Pressure,,CalculatedSignal,bar,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,7200.0,2023-05-10T21:53:03.269723,True,ns,AE5F3FCD-7669-4BD8-A611-80044719781E,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Compressors >> C23 >> Discharge Pressure,Linear,$signal,False,['signal=AA3200B9-D90E-4D67-98F5-2A0762EAC0BE']
6,6543B47A-A72D-4A1F-9F85-928CF3DF1E4F,Sample Assets >> Compressors,C45,Discharge Temperature,,CalculatedSignal,°C,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,7200.0,2023-05-10T21:53:03.269723,True,ns,2F9486C3-F1B3-4010-8AAD-2FD1A5129BED,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Compressors >> C45 >> Discharge Temperature,Linear,$signal,False,['signal=80147415-93F2-4D29-B642-A653D8F5EBD1']
7,728B9D3D-1C9C-4798-B5BC-22A8F6DB3174,Sample Assets >> Compressors,C45,Flow,,CalculatedSignal,Mcf/d,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,7200.0,2023-05-10T21:53:03.269723,True,ns,00AE21E7-D0F7-4578-BEC7-3032FFDD1E8B,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Compressors >> C45 >> Flow,Linear,$signal,False,['signal=AD38C3BD-3D0D-408F-B73A-5A83C6588EF8']
8,7F0D8AA0-E78F-413F-BDE0-F5BACA3DAC79,Sample Assets >> Compressors,C45,Speed,,CalculatedSignal,rpm,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,7200.0,2023-05-10T21:53:03.269723,True,ns,9C00086F-2D66-40D8-B57A-D940362155AC,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Compressors >> C45 >> Speed,Linear,$signal,False,['signal=265C6391-4097-4FBF-9C99-363308FD433E']
9,83A0D0B1-821B-42C5-A1F2-E4B9EAA574BD,Sample Assets >> Compressors,C45,Suction Temperature,,CalculatedSignal,°C,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,7200.0,2023-05-10T21:53:03.269723,True,ns,4FBD8B4B-718A-4DA5-B7EB-0858CFB18D74,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Compressors >> C45 >> Suction Temperature,Linear,$signal,False,['signal=8977F5CF-E090-4BF6-A997-FD2164B6FCE6']
10,CFB99CD1-FA89-4D32-8213-EA1040BA55DF,Sample Assets >> Compressors,C23,Flow,,CalculatedSignal,Mcf/d,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,7200.0,2023-05-10T21:53:03.269723,True,ns,E606CBAA-D433-4DE0-BC25-40DFC4B4CBDF,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Compressors >> C23 >> Flow,Linear,$signal,False,['signal=100DD46E-316B-4BF1-A635-94465A887778']
