Name,Description,Type,Value Unit Of Measure,Maximum Interpolation
PIC-002.MODE (2D402F04-9434-4840-9861-E24E87BD4F03),column = PIC-002.MODE; last file imported = PIC-002_v1.csv,StoredSignal,string,40h
PIC-001.MODE (5364102A-5CE2-4740-822E-A4B9E0C81952),column = PIC-001.MODE; last file imported = PIC-001_v1.csv,StoredSignal,string,40h
PIC-002.PV (B2255A8B-8D09-479A-934B-B3D31CF19461),column = PIC-002.PV; last file imported = PIC-002_v1.csv,StoredSignal,psi,40h
PIC-002.CO (63F31BB6-7AFB-4BB7-9649-5DD06B3D4921),column = PIC-002.CO; last file imported = PIC-002_v1.csv,StoredSignal,%,40h
PIC-001.PV (A9376470-7C9F-4CF4-8B8B-82DE4C8A9360),column = PIC-001.PV; last file imported = PIC-001_v1.csv,StoredSignal,psi,40h
PIC-001.SP (88EF133D-CDAE-48E8-8F17-9A20CBB4F47E),column = PIC-001.SP; last file imported = PIC-001_v1.csv,StoredSignal,psi,40h
PIC-002.SP (94C427BE-763B-42D0-AD61-99ED0F77D1AA),column = PIC-002.SP; last file imported = PIC-002_v1.csv,StoredSignal,psi,40h
PIC-001.CO (A53D0AF2-C66B-42CE-A534-38FBC9D98C37),column = PIC-001.CO; last file imported = PIC-001_v1.csv,StoredSignal,%,40h
TIC-012.PV (1E7AE793-B892-42AD-9F66-5B29ECF82E57),column = PV; last file imported = TIC012_v1.csv,StoredSignal,°F,40h
TIC-001.SP (29D14480-7572-4A6D-B2BA-897409153323),column = TIC-001.SP; last file imported = TIC-001_v1.csv,StoredSignal,°F,40h
TIC-001.PV (A44B9F08-51F6-4896-9417-72C53BBEC4F6),column = TIC-001.PV; last file imported = TIC-001_v1.csv,StoredSignal,°F,40h
TIC-002.MODE (ED3C87A7-9508-4299-80EA-ECB391CB0185),column = PIC-001.MODE; last file imported = TIC-002_v1.csv,StoredSignal,string,40h
TIC-001.MODE (B3FAFF02-F30D-4880-88D8-8AD58ECC06C9),column = TIC-001.MODE; last file imported = TIC-001_v1.csv,StoredSignal,string,40h
TIC-002.CO (B1C323E0-CE16-4C80-97D1-E24A19731B60),column = S25_TC2_OP; last file imported = TIC-002_v1.csv,StoredSignal,%,40h
TIC-002.SP (6D502684-87D6-4D4C-AFFD-343D6BD5B3E4),column = S25_TC2_SP; last file imported = TIC-002_v1.csv,StoredSignal,°F,40h
TIC-012.MODE (D8934B43-0331-4BCF-BFAB-87ADC3C4F380),column = MODE; last file imported = TIC012_v1.csv,StoredSignal,string,40h
TIC-001.CO (8B1C2D3F-997F-486A-A3D4-EACB67FD02BC),column = TIC-001.CO; last file imported = TIC-001_v1.csv,StoredSignal,%,40h
TIC-012.CO (4C32FA24-6D18-4FA9-9136-BC7DE8BB304C),column = CO; last file imported = TIC012_v1.csv,StoredSignal,%,40h
TIC-002.PV (CBDD0B9B-79FE-4F72-B668-44EB19A27F10),column = S25_TC2_PV; last file imported = TIC-002_v1.csv,StoredSignal,°F,40h
TIC-012.SP (8CD59480-5E4D-49BD-BFC6-058DF7E2BCFB),column = SP; last file imported = TIC012_v1.csv,StoredSignal,°F,40h
FIC-008.SP (1936282C-7219-4E85-9747-5C0648FA1173),column = FIC-008.SP; last file imported = FIC-008_v1.csv,StoredSignal,lb/h,40h
FIC-020.PV (1CE2AED5-849E-4DEB-82B9-2779DC207D0D),column = FIC-020.PV; last file imported = FIC-020_v1.csv,StoredSignal,lb/h,40h
FIC-020.CO (CE0FB704-B0BE-4510-A27A-D4B93D3B5162),column = FIC-020.CO; last file imported = FIC-020_v1.csv,StoredSignal,%,40h
FIC-008.CO (EC0E67EB-2D4A-4CA7-B81E-34D4FEE8A982),column = FIC-008.CO; last file imported = FIC-008_v1.csv,StoredSignal,%,40h
FIC-008.PV (374DEA82-51D3-48BB-AF8A-BC9AF9A01803),column = FIC-008.PV; last file imported = FIC-008_v1.csv,StoredSignal,lb/h,40h
FIC-008.MODE (911DB1B4-335F-4A89-B694-723E0D0FD92A),column = FIC-008.MODE; last file imported = FIC-008_v1.csv,StoredSignal,string,40h
FIC-020.SP (6E52F048-D98D-4BED-AA61-AF20F32A0379),column = FIC-020.SP; last file imported = FIC-020_v1.csv,StoredSignal,lb/h,40h
