,ID,Path,Asset,Name,Description,Type,Value Unit Of Measure,Datasource Name,Archived,Source Value Unit Of Measure,Datasource ID,Template,Maximum Interpolation,Sync Token,Enabled,Key Unit Of Measure,Cache ID,Datasource Class,Cache Enabled,Data ID,Interpolation Method,Formula,Unsearchable,Formula Parameters
0,030F96A3-A2F2-4DD4-A6A9-8995E7CDB81E,Sample Assets >> Control Loops,PIC001,CO,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,40.0,2023-09-14T16:59:36.953891,True,ns,49030A3F-F3F9-44DC-829B-0188E6605F0A,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Control Loops >> PIC001 >> CO,Linear,$signal,False,['signal=A53D0AF2-C66B-42CE-A534-38FBC9D98C37']
1,08E4F4EE-2DD5-424B-943F-09EEE3F6C64B,Sample Assets >> Control Loops,FIC008,FIC008,,Asset,,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,,2023-09-14T16:59:36.953891,True,,,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Asset} Sample Assets >> Control Loops >> FIC008,,,False,
2,146154B0-9914-4FBB-B048-C7DCBF3C685C,Sample Assets >> Control Loops,PIC002,CO,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,40.0,2023-09-14T16:59:36.953891,True,ns,EC5361B3-E0D3-4F7D-837A-BB14AB9F1E6E,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Control Loops >> PIC002 >> CO,Linear,$signal,False,['signal=63F31BB6-7AFB-4BB7-9649-5DD06B3D4921']
3,17BFD87A-4A78-4477-9F90-3AFB115A9821,Sample Assets >> Control Loops,TIC002,SP,,CalculatedSignal,°F,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,40.0,2023-09-14T16:59:36.953891,True,ns,753682B6-069B-40B0-82AA-D9A5518C49E0,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Control Loops >> TIC002 >> SP,Linear,$signal,False,['signal=6D502684-87D6-4D4C-AFFD-343D6BD5B3E4']
4,1A804B92-5925-455A-B01B-C2BB4C64542A,Sample Assets >> Control Loops,TIC012,CO,,CalculatedSignal,%,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,40.0,2023-09-14T16:59:36.953891,True,ns,E49B5AE8-C423-47B1-8A1C-CC237A0FD721,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Control Loops >> TIC012 >> CO,Linear,$signal,False,['signal=4C32FA24-6D18-4FA9-9136-BC7DE8BB304C']
5,23015A4D-6185-4656-9FD0-D60F6CF5C9B1,Sample Assets >> Control Loops,FIC020,FIC020,,Asset,,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,,2023-09-14T16:59:36.953891,True,,,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Asset} Sample Assets >> Control Loops >> FIC020,,,False,
6,3429B94B-A5F6-470C-AFBF-0EED565A659C,Sample Assets >> Control Loops,TIC001,PV,,CalculatedSignal,°F,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,40.0,2023-09-14T16:59:36.953891,True,ns,311F1ED8-31B9-4BA7-91DA-0DF7658FA8CA,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Control Loops >> TIC001 >> PV,Linear,$signal,False,['signal=A44B9F08-51F6-4896-9417-72C53BBEC4F6']
7,3F568BE2-85EC-410F-A066-9951E65587B7,Sample Assets >> Control Loops,TIC002,MODE,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,40.0,2023-09-14T16:59:36.953891,True,ns,9BE39CEB-8A76-4FAC-9FB2-89DD053862B4,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Control Loops >> TIC002 >> MODE,Step,$signal,False,['signal=ED3C87A7-9508-4299-80EA-ECB391CB0185']
8,40FCBF53-6811-4CF8-AD0F-71ECB32A30AC,Sample Assets >> Control Loops,TIC012,MODE,,CalculatedSignal,string,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,40.0,2023-09-14T16:59:36.953891,True,ns,E2AB839D-27E9-44BC-8274-40830C10B06F,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Control Loops >> TIC012 >> MODE,Step,$signal,False,['signal=D8934B43-0331-4BCF-BFAB-87ADC3C4F380']
9,45E8E0A4-3AF7-4E2E-ABE4-CF68C443A1E8,Sample Assets >> Control Loops,FIC020,SP,,CalculatedSignal,lb/h,Seeq Data Lab,False,,Seeq Data Lab,Sample Assets,40.0,2023-09-14T16:59:36.953891,True,ns,4BCFC2FE-D2C4-4320-8251-0077BB6E55CB,Seeq Data Lab,False,[00000000-0000-0000-0000-000000000000] {Signal} Sample Assets >> Control Loops >> FIC020 >> SP,Linear,$signal,False,['signal=6E52F048-D98D-4BED-AA61-AF20F32A0379']
