,Cold Liquid Flow HX (F4E0087D-100A-4B8D-9FBB-13F09BFC7AB4),T Cold In HX (A5445D3C-FAA5-463C-A34B-A1DB00E93819),T Cold Out HX (D5168D10-88DD-459C-BABA-E4A43159A0D7),Hot Liquid Flow HX (317538A4-FEA2-401A-A73B-4D1ABBDB51E6),T Hot in HX (4AB87B32-C128-461C-BB67-8D1B14074BD0),T Hot out HX (8D5B6208-6FF3-4619-A108-83673AE5F797)
2018-01-01 02:00:00-05:00,734801.0,193.34,314.16,196004.89,509.16,264.18
2018-01-02 02:00:00-05:00,735226.93,189.41,315.15,196012.77,510.61,265.68
2018-01-03 02:00:00-05:00,721012.97,186.19,311.36,196001.7,507.79,260.71
2018-01-04 02:00:00-05:00,724562.39,174.94,298.09,196002.31,505.32,245.19
2018-01-05 02:00:00-05:00,736171.15,183.27,309.1,196014.68,510.43,259.16
2018-01-06 02:00:00-05:00,735255.48,195.56,319.2,195995.03,514.07,270.85
2018-01-07 02:00:00-05:00,735213.26,195.12,317.51,195981.48,512.82,268.81
2018-01-08 02:00:00-05:00,735277.24,197.83,320.05,196007.23,511.44,272.45
2018-01-09 02:00:00-05:00,730596.88,195.69,317.89,196026.72,508.5,270.02
2018-01-10 02:00:00-05:00,732000.3,197.62,319.99,195980.45,509.49,272.6
2018-01-11 02:00:00-05:00,735334.66,202.17,322.26,195977.27,511.16,275.25
2018-01-12 02:00:00-05:00,735261.01,194.43,316.5,196016.73,509.53,268.74
2018-01-13 02:00:00-05:00,735297.91,188.91,312.77,196017.94,509.4,264.21
2018-01-14 02:00:00-05:00,720906.87,192.93,315.7,195977.31,507.9,267.29
2018-01-15 02:00:00-05:00,734210.43,196.75,317.76,195985.64,511.01,270.04
2018-01-16 02:00:00-05:00,735272.17,199.66,320.72,195998.11,512.22,274.15
2018-01-17 02:00:00-05:00,735307.48,196.59,319.14,195970.27,512.28,272.3
2018-01-18 02:00:00-05:00,726624.61,193.58,317.36,196024.28,509.67,270.21
2018-01-19 02:00:00-05:00,735147.44,195.37,316.11,195964.71,507.72,270.0
2018-01-20 02:00:00-05:00,732607.86,198.05,315.99,195979.43,504.84,270.86
2018-01-21 02:00:00-05:00,734718.5,197.68,317.55,195978.34,508.77,272.07
2018-01-22 02:00:00-05:00,735347.71,194.46,315.24,195919.52,507.97,269.51
2018-01-23 02:00:00-05:00,735248.32,195.52,316.4,196033.38,508.45,270.96
2018-01-24 02:00:00-05:00,735199.9,192.04,314.1,195059.12,507.32,268.59
2018-01-25 02:00:00-05:00,732351.96,190.82,313.93,195989.21,507.1,268.19
2018-01-26 02:00:00-05:00,735267.2,193.73,314.17,196030.96,503.35,269.31
2018-01-27 02:00:00-05:00,735210.5,194.81,312.9,196006.38,498.94,268.89
2018-01-28 02:00:00-05:00,735250.72,196.3,313.24,195996.28,499.6,269.52
2018-01-29 02:00:00-05:00,681205.53,214.53,326.92,195997.03,497.94,283.94
2018-01-30 02:00:00-05:00,735163.92,206.04,318.24,195995.29,500.39,276.17
2018-01-31 02:00:00-05:00,735306.77,204.54,316.76,195955.18,500.19,274.89
2018-02-01 02:00:00-05:00,735198.06,208.04,318.45,196038.92,500.79,277.2
2018-02-02 02:00:00-05:00,735186.24,209.61,319.78,195980.0,501.19,278.81
2018-02-03 02:00:00-05:00,735298.99,193.46,310.27,196005.37,499.03,267.23
2018-02-04 02:00:00-05:00,735300.68,192.65,309.32,195994.41,498.51,266.29
2018-02-05 02:00:00-05:00,735302.37,182.7,302.72,196028.82,496.34,258.33
2018-02-06 02:00:00-05:00,725635.08,178.52,299.69,195979.91,495.54,254.16
2018-02-07 02:00:00-05:00,735220.48,196.13,309.73,196011.96,497.91,267.9
2018-02-08 02:00:00-05:00,735231.22,199.59,310.53,195999.0,498.26,269.23
2018-02-09 02:00:00-05:00,735209.42,188.36,303.79,195995.61,498.48,260.9
2018-02-10 02:00:00-05:00,735188.59,171.74,289.55,196023.7,496.98,243.2
2018-02-11 02:00:00-05:00,735238.03,176.16,291.88,195985.65,497.44,246.35
2018-02-12 02:00:00-05:00,735344.13,177.89,295.14,196025.28,497.18,250.84
2018-02-13 02:00:00-05:00,735319.72,178.23,292.64,201561.48,494.64,247.59
2018-02-14 02:00:00-05:00,735186.39,182.28,297.04,213380.5,492.95,251.41
2018-02-15 02:00:00-05:00,720457.15,167.02,287.22,210006.45,489.58,239.14
2018-02-16 02:00:00-05:00,697622.55,188.61,301.14,210009.14,487.53,255.48
2018-02-17 02:00:00-05:00,698750.82,192.29,304.23,209990.44,489.23,258.95
2018-02-18 02:00:00-05:00,721058.21,176.95,292.95,210017.73,488.62,246.7
2018-02-19 02:00:00-05:00,735225.24,181.17,294.45,210006.68,489.6,249.6
2018-02-20 02:00:00-05:00,728685.65,194.19,303.87,209940.13,491.62,260.71
2018-02-21 02:00:00-05:00,732277.14,202.02,311.12,213360.8,492.99,269.75
2018-02-22 02:00:00-05:00,733976.38,203.87,311.48,209999.45,493.53,270.87
2018-02-23 02:00:00-05:00,735183.01,200.79,309.4,210022.45,492.25,268.1
2018-02-24 02:00:00-05:00,735295.56,189.83,304.06,209990.65,494.2,260.64
2018-02-25 02:00:00-05:00,735085.87,193.18,307.82,209978.74,491.64,266.37
2018-02-26 02:00:00-05:00,734471.86,190.61,303.79,209986.9,490.88,261.62
2018-02-27 02:00:00-05:00,734593.67,183.46,298.48,210015.72,490.64,255.24
2018-02-28 02:00:00-05:00,734616.03,186.64,300.51,210024.69,491.16,257.77
2018-03-01 02:00:00-05:00,734538.34,190.57,303.09,209994.84,492.05,260.84
