,ID,Path,Asset,Name,Description,Type,Value Unit Of Measure,Datasource Name,Archived,Source Value Unit Of Measure,Datasource ID,Asset Group Member,Scoped To,Tree Type,Metadata Properties,Enabled,Key Unit Of Measure,Cache ID,Datasource Class,Cache Enabled,Data ID,Formula,Unsearchable,parameterToColumn,columnType,Formula Parameters,Maximum Interpolation,Interpolation Method,Maximum Duration,manuallyAdded,UIConfig,originalMapping,Created By
0,09F6C5C0-5459-45D9-99E4-D4EACCE71576,SPC Monitoring,Line 1,Nelson Run Rule 5,,CalculatedCondition,,Seeq Calculations,False,,Seeq Calculations,True,7735F90F-45B4-48BD-A807-924C1182A92D,Seeq Workbench,,True,ns,0EE41486-38E6-6070-8BBB-F0DC461CF110,Seeq Calculations,True,09F6C5C0-5459-45D9-99E4-D4EACCE71576,"$inputsignal.Nelson_RunRule5($minus2sd, $plus2sd, 40h)",False,"[{""parameterName"":""inputsignal"",""columnName"":""Key Process Metric"",""id"":""CB693962-B626-418C-B59D-699A31C4B3D3""},{""parameterName"":""minus2sd"",""columnName"":""-2 Sigma"",""id"":""26170FD0-429B-4389-BDE6-021A4CDA509E""},{""parameterName"":""plus2sd"",""columnName"":""+2 Sigma"",""id"":""FA2F2089-7038-4329-9786-502E86856AE2""}]",Calculation,"['inputsignal=CB693962-B626-418C-B59D-699A31C4B3D3', 'minus2sd=26170FD0-429B-4389-BDE6-021A4CDA509E', 'plus2sd=FA2F2089-7038-4329-9786-502E86856AE2']",,,,,,,
1,0A82181F-1E6F-4669-93BE-8DEA97B51356,SPC Monitoring,Line 2,+3 Sigma,,CalculatedSignal,,Seeq Calculations,False,,Seeq Calculations,True,7735F90F-45B4-48BD-A807-924C1182A92D,Seeq Workbench,,True,ns,0EE41486-3A9D-77B0-A4EA-128E447532A7,Seeq Calculations,True,0A82181F-1E6F-4669-93BE-8DEA97B51356,$Mean + 3*$StandardDeviation,False,"[{""parameterName"":""StandardDeviation"",""columnName"":""PV Standard Deviation"",""id"":""9BCDA675-235D-4F09-895E-D0100F0290CA""},{""parameterName"":""Mean"",""columnName"":""PV Mean"",""id"":""0BAB7BD4-8767-4C4E-8F11-C20EE1C57EBF""}]",Calculation,"['StandardDeviation=9BCDA675-235D-4F09-895E-D0100F0290CA', 'Mean=0BAB7BD4-8767-4C4E-8F11-C20EE1C57EBF']",24.0,Linear,,,,,
2,0AF6337F-069B-46EB-A76F-80FDBE63FF1C,SPC Monitoring,Line 1,PV Standard Deviation,,CalculatedSignal,,Seeq Calculations,False,,Seeq Calculations,True,7735F90F-45B4-48BD-A807-924C1182A92D,Seeq Workbench,,True,ns,0EE41486-386E-6660-AA53-43B489AC85AF,Seeq Calculations,True,0AF6337F-069B-46EB-A76F-80FDBE63FF1C,"//Define the time period that contains all in control capsules
$capsule = capsule('2020-10-15T18:54:25.253000+00:00', '2021-02-08T23:47:19.421000+00:00')
 
//Narrow down data to when process is in control, use keep() to filter the condition by the specific grade code capsule property
$Grade101 = $applytocondition.keep('Grade Code', isMatch('Grade 101')).intersect($inputcondition)
$Grade102 = $applytocondition.keep('Grade Code', isMatch('Grade 102')).intersect($inputcondition)
$Grade105 = $applytocondition.keep('Grade Code', isMatch('Grade 105')).intersect($inputcondition)
$Grade107 = $applytocondition.keep('Grade Code', isMatch('Grade 107')).intersect($inputcondition)
$Grade103 = $applytocondition.keep('Grade Code', isMatch('Grade 103')).intersect($inputcondition)
$Grade106 = $applytocondition.keep('Grade Code', isMatch('Grade 106')).intersect($inputcondition)
$Grade108 = $applytocondition.keep('Grade Code', isMatch('Grade 108')).intersect($inputcondition)
$Grade104 = $applytocondition.keep('Grade Code', isMatch('Grade 104')).intersect($inputcondition)

 
//Create stddev based on the times the product is in control, use .toDiscrete to create an unweighted stddev
$Grade101_stddev = $inputsignal.remove(not $Grade101).toDiscrete().stddev($capsule)$Grade102_stddev = $inputsignal.remove(not $Grade102).toDiscrete().stddev($capsule)$Grade105_stddev = $inputsignal.remove(not $Grade105).toDiscrete().stddev($capsule)$Grade107_stddev = $inputsignal.remove(not $Grade107).toDiscrete().stddev($capsule)$Grade103_stddev = $inputsignal.remove(not $Grade103).toDiscrete().stddev($capsule)$Grade106_stddev = $inputsignal.remove(not $Grade106).toDiscrete().stddev($capsule)$Grade108_stddev = $inputsignal.remove(not $Grade108).toDiscrete().stddev($capsule)$Grade104_stddev = $inputsignal.remove(not $Grade104).toDiscrete().stddev($capsule)
 
//Create stddev for all grades in one signal using splice(), use keep() to filter the condition by the specific grade code capsule property
//use within() to show only stddev only during the condition
0.splice($Grade101_stddev, $applytocondition.keep('Grade Code', isMatch('Grade 101')))
.splice($Grade102_stddev, $applytocondition.keep('Grade Code', isMatch('Grade 102')))
.splice($Grade105_stddev, $applytocondition.keep('Grade Code', isMatch('Grade 105')))
.splice($Grade107_stddev, $applytocondition.keep('Grade Code', isMatch('Grade 107')))
.splice($Grade103_stddev, $applytocondition.keep('Grade Code', isMatch('Grade 103')))
.splice($Grade106_stddev, $applytocondition.keep('Grade Code', isMatch('Grade 106')))
.splice($Grade108_stddev, $applytocondition.keep('Grade Code', isMatch('Grade 108')))
.splice($Grade104_stddev, $applytocondition.keep('Grade Code', isMatch('Grade 104')))
.within($applytocondition)",False,"[{""parameterName"":""applytocondition"",""columnName"":""Process Condition"",""id"":""304DB2D8-6F57-43ED-ADEA-23E306DB3DDB""},{""parameterName"":""inputsignal"",""columnName"":""Key Process Metric"",""id"":""CB693962-B626-418C-B59D-699A31C4B3D3""},{""parameterName"":""inputcondition"",""columnName"":""Process 'In Control' Condition"",""id"":""EC3B56EE-E0A7-4F07-80F2-DD52A7589E91""}]",Calculation,"['applytocondition=304DB2D8-6F57-43ED-ADEA-23E306DB3DDB', 'inputsignal=CB693962-B626-418C-B59D-699A31C4B3D3', 'inputcondition=EC3B56EE-E0A7-4F07-80F2-DD52A7589E91']",24.0,Linear,,,,,
3,0BAB7BD4-8767-4C4E-8F11-C20EE1C57EBF,SPC Monitoring,Line 2,PV Mean,,CalculatedSignal,,Seeq Calculations,False,,Seeq Calculations,True,7735F90F-45B4-48BD-A807-924C1182A92D,Seeq Workbench,,True,ns,0EE41486-3A7D-FBE0-A73E-E506C6D02527,Seeq Calculations,True,0BAB7BD4-8767-4C4E-8F11-C20EE1C57EBF,"//Define the time period that contains all in control capsules
$capsule = capsule('2020-10-15T18:54:25.253000+00:00', '2021-02-08T23:47:19.421000+00:00')
 
//Narrow down data to when process is in control, use keep() to filter the condition by the specific grade code capsule property
$Grade101 = $applytocondition.keep('Grade Code', isMatch('Grade 101')).intersect($inputcondition)
$Grade102 = $applytocondition.keep('Grade Code', isMatch('Grade 102')).intersect($inputcondition)
$Grade105 = $applytocondition.keep('Grade Code', isMatch('Grade 105')).intersect($inputcondition)
$Grade107 = $applytocondition.keep('Grade Code', isMatch('Grade 107')).intersect($inputcondition)
$Grade103 = $applytocondition.keep('Grade Code', isMatch('Grade 103')).intersect($inputcondition)
$Grade106 = $applytocondition.keep('Grade Code', isMatch('Grade 106')).intersect($inputcondition)
$Grade108 = $applytocondition.keep('Grade Code', isMatch('Grade 108')).intersect($inputcondition)
$Grade104 = $applytocondition.keep('Grade Code', isMatch('Grade 104')).intersect($inputcondition)

 
//Create average based on the times the product is in control, use .toDiscrete to create an unweighted average
$Grade101_average = $inputsignal.remove(not $Grade101).toDiscrete().average($capsule)$Grade102_average = $inputsignal.remove(not $Grade102).toDiscrete().average($capsule)$Grade105_average = $inputsignal.remove(not $Grade105).toDiscrete().average($capsule)$Grade107_average = $inputsignal.remove(not $Grade107).toDiscrete().average($capsule)$Grade103_average = $inputsignal.remove(not $Grade103).toDiscrete().average($capsule)$Grade106_average = $inputsignal.remove(not $Grade106).toDiscrete().average($capsule)$Grade108_average = $inputsignal.remove(not $Grade108).toDiscrete().average($capsule)$Grade104_average = $inputsignal.remove(not $Grade104).toDiscrete().average($capsule)
 
//Create average for all grades in one signal using splice(), use keep() to filter the condition by the specific grade code capsule property
//use within() to show only average only during the condition
0.splice($Grade101_average, $applytocondition.keep('Grade Code', isMatch('Grade 101')))
.splice($Grade102_average, $applytocondition.keep('Grade Code', isMatch('Grade 102')))
.splice($Grade105_average, $applytocondition.keep('Grade Code', isMatch('Grade 105')))
.splice($Grade107_average, $applytocondition.keep('Grade Code', isMatch('Grade 107')))
.splice($Grade103_average, $applytocondition.keep('Grade Code', isMatch('Grade 103')))
.splice($Grade106_average, $applytocondition.keep('Grade Code', isMatch('Grade 106')))
.splice($Grade108_average, $applytocondition.keep('Grade Code', isMatch('Grade 108')))
.splice($Grade104_average, $applytocondition.keep('Grade Code', isMatch('Grade 104')))
.within($applytocondition)",False,"[{""parameterName"":""inputsignal"",""columnName"":""Key Process Metric"",""id"":""27B41CA4-7A5C-42B1-8317-A207A7D97F11""},{""parameterName"":""inputcondition"",""columnName"":""Process 'In Control' Condition"",""id"":""64569B88-DA40-4760-A2B7-7AD0C82488BB""},{""parameterName"":""applytocondition"",""columnName"":""Process Condition"",""id"":""8BEDFB33-0FC0-4170-A11B-A038DF4A7ADE""}]",Calculation,"['inputsignal=27B41CA4-7A5C-42B1-8317-A207A7D97F11', 'inputcondition=64569B88-DA40-4760-A2B7-7AD0C82488BB', 'applytocondition=8BEDFB33-0FC0-4170-A11B-A038DF4A7ADE']",24.0,Linear,,,,,
4,0C868AF8-E3B4-40E2-B8B3-211CEEEE89F9,SPC Monitoring,Line 3,Process 'In Control' Condition,,CalculatedCondition,,Seeq Calculations,False,,Seeq Calculations,True,7735F90F-45B4-48BD-A807-924C1182A92D,Seeq Workbench,Source+Unique+Id=string&Grade+Code=string,True,ns,3A2A94ED-580E-45D0-8D93-395F2799A95C,Seeq Calculations,True,0C868AF8-E3B4-40E2-B8B3-211CEEEE89F9,$signal,False,,,['signal=24D4CDF8-29B2-4735-9DE1-765634568C29'],,,331201000.0,6C169E5E-E062-4064-A3ED-69350BB49A26,,,
5,1C5E4E5B-6C31-4FE0-ADC6-EEDD63B9C358,SPC Monitoring,Line 3,Nelson Run Rule Deviations,,CalculatedCondition,,Seeq Calculations,False,,Seeq Calculations,True,7735F90F-45B4-48BD-A807-924C1182A92D,Seeq Workbench,Run+Rule=string,True,ns,0EE41486-3D6D-FB20-89FF-3C99334B0053,Seeq Calculations,True,1C5E4E5B-6C31-4FE0-ADC6-EEDD63B9C358,"combinewith(
$nrr1.setProperty('Run Rule', 'Run Rule 1'),
$nrr2.setProperty('Run Rule', 'Run Rule 2'),
$nrr3.setProperty('Run Rule', 'Run Rule 3'),
$nrr4.setProperty('Run Rule', 'Run Rule 4'),
$nrr5.setProperty('Run Rule', 'Run Rule 5'),
$nrr6.setProperty('Run Rule', 'Run Rule 6'),
$nrr7.setProperty('Run Rule', 'Run Rule 7'),
$nrr8.setProperty('Run Rule', 'Run Rule 8'))
",False,"[{""parameterName"":""nrr2"",""columnName"":""Nelson Run Rule 2"",""id"":""944E494B-4B2C-4C49-9FD0-08F23078045E""},{""parameterName"":""nrr5"",""columnName"":""Nelson Run Rule 5"",""id"":""DE9491C0-4BFC-47BF-9811-A0545145412A""},{""parameterName"":""nrr3"",""columnName"":""Nelson Run Rule 3"",""id"":""CFC733F8-3315-4CF3-9C61-CEB22D379CA4""},{""parameterName"":""nrr6"",""columnName"":""Nelson Run Rule 6"",""id"":""2023131B-0B48-4D69-9E09-75A58D87A6AF""},{""parameterName"":""nrr4"",""columnName"":""Nelson Run Rule 4"",""id"":""2EA7550F-BEBA-4096-AD7E-14301053CB37""},{""parameterName"":""nrr1"",""columnName"":""Nelson Run Rule 1"",""id"":""56FE16D0-B0F0-4C8A-A21C-08C340B1D96E""},{""parameterName"":""nrr8"",""columnName"":""Nelson Run Rule 8"",""id"":""F4B2697F-0615-43F8-A3F1-343F741E995A""},{""parameterName"":""nrr7"",""columnName"":""Nelson Run Rule 7"",""id"":""698E6225-15A8-411C-8485-D51050C1275C""}]",Calculation,"['nrr2=944E494B-4B2C-4C49-9FD0-08F23078045E', 'nrr5=DE9491C0-4BFC-47BF-9811-A0545145412A', 'nrr3=CFC733F8-3315-4CF3-9C61-CEB22D379CA4', 'nrr6=2023131B-0B48-4D69-9E09-75A58D87A6AF', 'nrr4=2EA7550F-BEBA-4096-AD7E-14301053CB37', 'nrr1=56FE16D0-B0F0-4C8A-A21C-08C340B1D96E', 'nrr8=F4B2697F-0615-43F8-A3F1-343F741E995A', 'nrr7=698E6225-15A8-411C-8485-D51050C1275C']",,,,6C169E5E-E062-4064-A3ED-69350BB49A26,,,
6,2023131B-0B48-4D69-9E09-75A58D87A6AF,SPC Monitoring,Line 3,Nelson Run Rule 6,,CalculatedCondition,,Seeq Calculations,False,,Seeq Calculations,True,7735F90F-45B4-48BD-A807-924C1182A92D,Seeq Workbench,,True,ns,0EE41486-3D4B-E840-997B-34D5BDD6A3A8,Seeq Calculations,True,2023131B-0B48-4D69-9E09-75A58D87A6AF,"$inputsignal.Nelson_RunRule6($minus1sd, $plus1sd, 40h)",False,"[{""parameterName"":""inputsignal"",""columnName"":""Key Process Metric"",""id"":""3960EC92-96F6-472D-9FAD-A55C95E3BBDA""},{""parameterName"":""plus1sd"",""columnName"":""+1 Sigma"",""id"":""4CA98986-B9C4-4B12-8EAD-C6A0B4237BBA""},{""parameterName"":""minus1sd"",""columnName"":""-1 Sigma"",""id"":""A252E73B-9F91-4105-99DD-E95D7B8A8D62""}]",Calculation,"['inputsignal=3960EC92-96F6-472D-9FAD-A55C95E3BBDA', 'plus1sd=4CA98986-B9C4-4B12-8EAD-C6A0B4237BBA', 'minus1sd=A252E73B-9F91-4105-99DD-E95D7B8A8D62']",,,,6C169E5E-E062-4064-A3ED-69350BB49A26,,,
7,26170FD0-429B-4389-BDE6-021A4CDA509E,SPC Monitoring,Line 1,-2 Sigma,,CalculatedSignal,,Seeq Calculations,False,,Seeq Calculations,True,7735F90F-45B4-48BD-A807-924C1182A92D,Seeq Workbench,,True,ns,0EE41486-38AD-EE00-9A97-654ADC888493,Seeq Calculations,True,26170FD0-429B-4389-BDE6-021A4CDA509E,$Mean - 2*$StandardDeviation,False,"[{""parameterName"":""StandardDeviation"",""columnName"":""PV Standard Deviation"",""id"":""0AF6337F-069B-46EB-A76F-80FDBE63FF1C""},{""parameterName"":""Mean"",""columnName"":""PV Mean"",""id"":""B463DE59-9203-4A91-B50C-FFEA65944F40""}]",Calculation,"['StandardDeviation=0AF6337F-069B-46EB-A76F-80FDBE63FF1C', 'Mean=B463DE59-9203-4A91-B50C-FFEA65944F40']",24.0,Linear,,,,,
8,272C2AF8-6519-4DCA-8B32-7ED6680C97E8,SPC Monitoring,Line 2,+1 Sigma,,CalculatedSignal,,Seeq Calculations,False,,Seeq Calculations,True,7735F90F-45B4-48BD-A807-924C1182A92D,Seeq Workbench,,True,ns,0EE41486-3AD8-7130-A32A-E9E9CBC34C22,Seeq Calculations,True,272C2AF8-6519-4DCA-8B32-7ED6680C97E8,$Mean + 1*$StandardDeviation,False,"[{""parameterName"":""StandardDeviation"",""columnName"":""PV Standard Deviation"",""id"":""9BCDA675-235D-4F09-895E-D0100F0290CA""},{""parameterName"":""Mean"",""columnName"":""PV Mean"",""id"":""0BAB7BD4-8767-4C4E-8F11-C20EE1C57EBF""}]",Calculation,"['StandardDeviation=9BCDA675-235D-4F09-895E-D0100F0290CA', 'Mean=0BAB7BD4-8767-4C4E-8F11-C20EE1C57EBF']",24.0,Linear,,,,,
9,2780655F-A012-40E9-AADB-866DEB5C69A8,SPC Monitoring,Line 2,Nelson Run Rule 4,,CalculatedCondition,,Seeq Calculations,False,,Seeq Calculations,True,7735F90F-45B4-48BD-A807-924C1182A92D,Seeq Workbench,,True,ns,0EE41486-3B6D-6000-A298-0470B717F783,Seeq Calculations,True,2780655F-A012-40E9-AADB-866DEB5C69A8,$inputsignal.Nelson_RunRule4(40h),False,"[{""parameterName"":""inputsignal"",""columnName"":""Key Process Metric"",""id"":""27B41CA4-7A5C-42B1-8317-A207A7D97F11""}]",Calculation,['inputsignal=27B41CA4-7A5C-42B1-8317-A207A7D97F11'],,,,,,,
