Name,Description,Type,Value Unit Of Measure,Maximum Interpolation
Optimizer (234985F9-8B2E-4F0F-BE80-0506486E6B31),,StoredSignal,,2min
Optimizer (4A093C4B-BE04-488D-9180-970007FAAB5F),From PHD,StoredSignal,,10082min
Optimizer (62E6F850-E523-408D-AD10-0C87E65F996B),,StoredSignal,,2min
Optimizer (6E448462-851F-40D9-BDC3-54232E5A50F1),,StoredSignal,,10082min
Optimizer (9B7F25F6-6BF5-458C-899E-CE8F4922DDF9),,StoredSignal,,10082min
Optimizer (A6A2CFF8-3B86-47D3-9D52-D189477EB610),,StoredSignal,,2min
Optimizer (B4AFA17D-147A-4A67-A3FF-CB31FAB37077),,StoredSignal,,2min
Optimizer (C44DF483-C7F7-4AB2-8753-C2FB89975063),,StoredSignal,,60d
Optimizer (CA5D4857-4962-4559-9A60-2A5660310FB9),,StoredSignal,,10082min
Optimizer (F1A61665-CA43-4F61-B750-DC4AB0BB8B1F),,StoredSignal,,2min
